park,type,name_ja,official_url,mobile_order,priority_seating,verified_on
東京ディズニーランド,アトラクション,ビッグサンダー・マウンテン,https://www.tokyodisneyresort.jp/tdl/attraction/detail/160/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ビーバーブラザーズのカヌー探険,https://www.tokyodisneyresort.jp/tdl/attraction/detail/163/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ピノキオの冒険旅行,https://www.tokyodisneyresort.jp/tdl/attraction/detail/168/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ピーターパン空の旅,https://www.tokyodisneyresort.jp/tdl/attraction/detail/164/,false,false,2026-08-03
東京ディズニーランド,アトラクション,プーさんのハニーハント,https://www.tokyodisneyresort.jp/tdl/attraction/detail/174/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ベイマックスのハッピーライド,https://www.tokyodisneyresort.jp/tdl/attraction/detail/196/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ペニーアーケード,https://www.tokyodisneyresort.jp/tdl/attraction/detail/191/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ホーンテッドマンション,https://www.tokyodisneyresort.jp/tdl/attraction/detail/171/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ミッキーのフィルハーマジック,https://www.tokyodisneyresort.jp/tdl/attraction/detail/167/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ミニーの家,https://www.tokyodisneyresort.jp/tdl/attraction/detail/176/,false,false,2026-08-03
東京ディズニーランド,アトラクション,モンスターズ・インク“ライド＆ゴーシーク！”,https://www.tokyodisneyresort.jp/tdl/attraction/detail/189/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ロジャーラビットのカートゥーンスピン,https://www.tokyodisneyresort.jp/tdl/attraction/detail/175/,false,false,2026-08-03
東京ディズニーランド,アトラクション,白雪姫と七人のこびと,https://www.tokyodisneyresort.jp/tdl/attraction/detail/165/,false,false,2026-08-03
東京ディズニーランド,アトラクション,空飛ぶダンボ,https://www.tokyodisneyresort.jp/tdl/attraction/detail/169/,false,false,2026-08-03
東京ディズニーランド,アトラクション,美女と野獣“魔法のものがたり”,https://www.tokyodisneyresort.jp/tdl/attraction/detail/197/,false,false,2026-08-03
東京ディズニーランド,アトラクション,蒸気船マークトウェイン号,https://www.tokyodisneyresort.jp/tdl/attraction/detail/159/,false,false,2026-08-03
東京ディズニーランド,アトラクション,魅惑のチキルーム：スティッチ・プレゼンツ“アロハ・エ・コモ・マイ！”,https://www.tokyodisneyresort.jp/tdl/attraction/detail/156/,false,false,2026-08-03
東京ディズニーランド,ショップ,アドベンチャーランド・バザール,https://www.tokyodisneyresort.jp/tdl/shop/detail/533/,false,false,2026-08-03
東京ディズニーランド,ショップ,アドベンチャーランド・バザール（カプセルトイ）,https://www.tokyodisneyresort.jp/tdl/shop/detail/594/,false,false,2026-08-03
東京ディズニーランド,ショップ,ウエスタンウエア,https://www.tokyodisneyresort.jp/tdl/shop/detail/539/,false,false,2026-08-03
東京ディズニーランド,ショップ,ウエスタンランド写真館,https://www.tokyodisneyresort.jp/tdl/shop/detail/538/,false,false,2026-08-03
東京ディズニーランド,ショップ,カメラセンター,https://www.tokyodisneyresort.jp/tdl/shop/detail/515/,false,false,2026-08-03
東京ディズニーランド,ショップ,カントリーベア・バンドワゴン,https://www.tokyodisneyresort.jp/tdl/shop/detail/542/,false,false,2026-08-03
東京ディズニーランド,ショップ,ガラスの靴,https://www.tokyodisneyresort.jp/tdl/shop/detail/546/,false,false,2026-08-03
東京ディズニーランド,ショップ,ガラスの靴（制作物）※ガラス製品,https://www.tokyodisneyresort.jp/tdl/shop/detail/547/,false,false,2026-08-03
東京ディズニーランド,ショップ,キングダム・トレジャー,https://www.tokyodisneyresort.jp/tdl/shop/detail/549/,false,false,2026-08-03
東京ディズニーランド,ショップ,ギャグファクトリー/ファイブ・アンド・ダイム（カプセルトイ）,https://www.tokyodisneyresort.jp/tdl/shop/detail/590/,false,false,2026-08-03
東京ディズニーランド,ショップ,ギャグファクトリー／ファイブ・アンド・ダイム,https://www.tokyodisneyresort.jp/tdl/shop/detail/556/,false,false,2026-08-03
東京ディズニーランド,ショップ,クリスタルアーツ,https://www.tokyodisneyresort.jp/tdl/shop/detail/531/,false,false,2026-08-03
東京ディズニーランド,ショップ,クリスタルアーツ（制作物）※ガラス製品,https://www.tokyodisneyresort.jp/tdl/shop/detail/532/,false,false,2026-08-03
東京ディズニーランド,ショップ,グランドエンポーリアム,https://www.tokyodisneyresort.jp/tdl/shop/detail/513/,false,false,2026-08-03
東京ディズニーランド,ショップ,コズミック・エンカウンター,https://www.tokyodisneyresort.jp/tdl/shop/detail/560/,false,false,2026-08-03
東京ディズニーランド,ショップ,ゴールデンガリオン,https://www.tokyodisneyresort.jp/tdl/shop/detail/526/,false,false,2026-08-03
東京ディズニーランド,ショップ,シルエットスタジオ,https://www.tokyodisneyresort.jp/tdl/shop/detail/510/,false,false,2026-08-03
東京ディズニーランド,ショップ,ジャングルカーニバル（ボール転がし）,https://www.tokyodisneyresort.jp/tdl/shop/detail/571/,false,false,2026-08-03
東京ディズニーランド,ショップ,ジャングルカーニバル（丸太投げ）,https://www.tokyodisneyresort.jp/tdl/shop/detail/570/,false,false,2026-08-03
東京ディズニーランド,ショップ,スターゲイザーサプライ,https://www.tokyodisneyresort.jp/tdl/shop/detail/576/,false,false,2026-08-03
東京ディズニーランド,ショップ,ストロンボリズ・ワゴン,https://www.tokyodisneyresort.jp/tdl/shop/detail/552/,false,false,2026-08-03
東京ディズニーランド,ショップ,スプラッシュダウン・フォト,https://www.tokyodisneyresort.jp/tdl/shop/detail/543/,false,false,2026-08-03
東京ディズニーランド,ショップ,ゼネラルストア,https://www.tokyodisneyresort.jp/tdl/shop/detail/540/,false,false,2026-08-03
東京ディズニーランド,ショップ,タウンセンターファッション,https://www.tokyodisneyresort.jp/tdl/shop/detail/525/,false,false,2026-08-03
東京ディズニーランド,ショップ,ディズニー＆カンパニー,https://www.tokyodisneyresort.jp/tdl/shop/detail/502/,false,false,2026-08-03
東京ディズニーランド,ショップ,トイ・ステーション,https://www.tokyodisneyresort.jp/tdl/shop/detail/524/,false,false,2026-08-03
東京ディズニーランド,ショップ,トゥーンタウン・デリバリー・カンパニー,https://www.tokyodisneyresort.jp/tdl/shop/detail/557/,false,false,2026-08-03
東京ディズニーランド,ショップ,トレジャーコメット,https://www.tokyodisneyresort.jp/tdl/shop/detail/564/,false,false,2026-08-03
東京ディズニーランド,ショップ,トレジャーコメット（カプセルトイ）,https://www.tokyodisneyresort.jp/tdl/shop/detail/592/,false,false,2026-08-03
東京ディズニーランド,ショップ,トレーディングポスト,https://www.tokyodisneyresort.jp/tdl/shop/detail/537/,false,false,2026-08-03
東京ディズニーランド,ショップ,ハウス・オブ・グリーティング,https://www.tokyodisneyresort.jp/tdl/shop/detail/508/,false,false,2026-08-03
東京ディズニーランド,ショップ,ハッピーキャンパーサプライ,https://www.tokyodisneyresort.jp/tdl/shop/detail/534/,false,false,2026-08-03
東京ディズニーランド,ショップ,ハリントンズ・ジュエリー＆ウォッチ,https://www.tokyodisneyresort.jp/tdl/shop/detail/523/,false,false,2026-08-03
東京ディズニーランド,ショップ,ハーモニーフェア,https://www.tokyodisneyresort.jp/tdl/shop/detail/548/,false,false,2026-08-03
東京ディズニーランド,ショップ,パイレーツ・トレジャー,https://www.tokyodisneyresort.jp/tdl/shop/detail/527/,false,false,2026-08-03
東京ディズニーランド,ショップ,パーティグラ・ギフト,https://www.tokyodisneyresort.jp/tdl/shop/detail/529/,false,false,2026-08-03
東京ディズニーランド,ショップ,ビビディ・バビディ・ブティック,https://www.tokyodisneyresort.jp/tdl/shop/detail/566/,false,false,2026-08-03
東京ディズニーランド,ショップ,ビレッジショップス,https://www.tokyodisneyresort.jp/tdl/shop/detail/572/,false,false,2026-08-03
東京ディズニーランド,ショップ,フロンティア・ウッドクラフト,https://www.tokyodisneyresort.jp/tdl/shop/detail/541/,false,false,2026-08-03
東京ディズニーランド,ショップ,ブレイブリトルテイラー・ショップ,https://www.tokyodisneyresort.jp/tdl/shop/detail/563/,false,false,2026-08-03
東京ディズニーランド,ショップ,プレジャーアイランド・キャンディーズ,https://www.tokyodisneyresort.jp/tdl/shop/detail/551/,false,false,2026-08-03
東京ディズニーランド,ショップ,プーさんコーナー,https://www.tokyodisneyresort.jp/tdl/shop/detail/555/,false,false,2026-08-03
東京ディズニーランド,ショップ,ペイストリーパレス,https://www.tokyodisneyresort.jp/tdl/shop/detail/522/,false,false,2026-08-03
東京ディズニーランド,ショップ,ホームストア,https://www.tokyodisneyresort.jp/tdl/shop/detail/512/,false,false,2026-08-03
東京ディズニーランド,ショップ,マジックショップ,https://www.tokyodisneyresort.jp/tdl/shop/detail/509/,false,false,2026-08-03
東京ディズニーランド,ショップ,モンスターズ・インク・カンパニーストア,https://www.tokyodisneyresort.jp/tdl/shop/detail/558/,false,false,2026-08-03
東京ディズニーランド,ショップ,ラ・プティート・パフュームリー,https://www.tokyodisneyresort.jp/tdl/shop/detail/528/,false,false,2026-08-03
東京ディズニーランド,ショップ,ル・マルシェ・ブルー,https://www.tokyodisneyresort.jp/tdl/shop/detail/530/,false,false,2026-08-03
東京ディズニーランド,ショップ,ワールドバザール・コンフェクショナリー,https://www.tokyodisneyresort.jp/tdl/shop/detail/500/,false,false,2026-08-03
東京ディズニーランド,レストラン,れすとらん北齋,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/313/,false,true,2026-08-03
東京ディズニーランド,レストラン,アイスクリームコーン,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/317/,false,false,2026-08-03
東京ディズニーランド,レストラン,イーストサイド・カフェ,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/300/,false,true,2026-08-03
東京ディズニーランド,レストラン,カウボーイ・クックハウス,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/499/,true,false,2026-08-03
東京ディズニーランド,レストラン,カフェ・オーリンズ,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/321/,true,false,2026-08-03
東京ディズニーランド,レストラン,キャプテンフックス・ギャレー,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/346/,true,false,2026-08-03
東京ディズニーランド,レストラン,キャンプ・ウッドチャック・キッチン,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/339/,true,false,2026-08-03
東京ディズニーランド,レストラン,クイーン・オブ・ハートのバンケットホール,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/349/,false,false,2026-08-03
東京ディズニーランド,レストラン,クリスタルパレス・レストラン,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/323/,false,true,2026-08-03
東京ディズニーランド,レストラン,グランマ・サラのキッチン,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/344/,true,false,2026-08-03
東京ディズニーランド,レストラン,グレートアメリカン・ワッフルカンパニー,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/304/,true,false,2026-08-03
東京ディズニーランド,レストラン,ザ・ガゼーボ,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/327/,false,false,2026-08-03
東京ディズニーランド,レストラン,ザ・ダイヤモンドホースシュー,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/336/,false,false,2026-08-03
東京ディズニーランド,レストラン,スウィートハート・カフェ,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/316/,false,false,2026-08-03
東京ディズニーランド,レストラン,スキッパーズ・ギャレー,https://www.tokyodisneyresort.jp/tdl/restaurant/detail/331/,true,false,2026-08-03
